iter	Passed	Remaining
0	0	218
1	0	202
2	0	195
3	0	199
4	0	195
5	1	193
6	1	190
7	1	188
8	1	189
9	1	188
10	2	187
11	2	186
12	2	185
13	2	186
14	2	185
15	3	185
16	3	184
17	3	185
18	3	185
19	3	184
20	3	183
21	4	183
22	4	183
23	4	183
24	4	182
25	4	182
26	5	182
27	5	182
28	5	182
29	5	181
30	5	181
31	5	181
32	6	181
33	6	181
34	6	180
35	6	180
36	6	179
37	7	180
38	7	179
39	7	179
40	7	179
41	7	178
42	8	178
43	8	178
44	8	178
45	8	177
46	8	177
47	8	177
48	9	177
49	9	177
50	9	176
51	9	176
52	9	176
53	10	176
54	10	175
55	10	175
56	10	175
57	10	175
58	10	175
59	11	174
60	11	174
61	11	174
62	11	174
63	11	173
64	12	173
65	12	173
66	12	173
67	12	173
68	12	172
69	13	172
70	13	172
71	13	172
72	13	172
73	13	171
74	13	171
75	14	171
76	14	171
77	14	171
78	14	171
79	14	170
80	15	170
81	15	170
82	15	170
83	15	170
84	15	170
85	15	169
86	16	169
87	16	169
88	16	169
89	16	169
90	16	168
91	17	168
92	17	168
93	17	168
94	17	167
95	17	167
96	18	167
97	18	167
98	18	167
99	18	166
100	18	166
101	18	166
102	19	166
103	19	166
104	19	165
105	19	165
106	19	165
107	20	165
108	20	165
109	20	164
110	20	164
111	20	164
112	20	164
113	21	164
114	21	164
115	21	163
116	21	163
117	21	163
118	22	163
119	22	162
120	22	162
121	22	162
122	22	162
123	22	162
124	23	161
125	23	161
126	23	161
127	23	161
128	23	161
129	24	161
130	24	160
131	24	160
132	24	160
133	24	160
134	24	160
135	25	159
136	25	159
137	25	159
138	25	159
139	25	159
140	26	158
141	26	158
142	26	158
143	26	158
144	26	158
145	27	157
146	27	157
147	27	157
148	27	157
149	27	157
150	27	157
151	28	156
152	28	156
153	28	156
154	28	156
155	28	156
156	29	155
157	29	155
158	29	155
159	29	155
160	29	155
161	29	154
162	30	154
163	30	154
164	30	154
165	30	154
166	30	153
167	31	153
168	31	153
169	31	153
170	31	153
171	31	153
172	31	152
173	32	152
174	32	152
175	32	152
176	32	152
177	32	151
178	33	151
179	33	151
180	33	151
181	33	151
182	33	150
183	34	150
184	34	150
185	34	150
186	34	150
187	34	150
188	34	149
189	35	149
190	35	149
191	35	149
192	35	149
193	35	148
194	36	148
195	36	148
196	36	148
197	36	148
198	36	147
199	36	147
200	37	147
201	37	147
202	37	147
203	37	146
204	37	146
205	38	146
206	38	146
207	38	146
208	38	145
209	38	145
210	38	145
211	39	145
212	39	145
213	39	145
214	39	144
215	39	144
216	40	144
217	40	144
218	40	144
219	40	143
220	40	143
221	40	143
222	41	143
223	41	143
224	41	142
225	41	142
226	41	142
227	42	142
228	42	142
229	42	142
230	42	141
231	42	141
232	42	141
233	43	141
234	43	141
235	43	140
236	43	140
237	43	140
238	44	140
239	44	140
240	44	139
241	44	139
242	44	139
243	44	139
244	45	139
245	45	139
246	45	138
247	45	138
248	45	138
249	46	138
250	46	138
251	46	137
252	46	137
253	46	137
254	47	137
255	47	137
256	47	137
257	47	136
258	47	136
259	47	136
260	48	136
261	48	136
262	48	135
263	48	135
264	48	135
265	49	135
266	49	135
267	49	134
268	49	134
269	49	134
270	49	134
271	50	134
272	50	134
273	50	133
274	50	133
275	50	133
276	51	133
277	51	133
278	51	132
279	51	132
280	51	132
281	51	132
282	52	132
283	52	132
284	52	131
285	52	131
286	52	131
287	53	131
288	53	131
289	53	130
290	53	130
291	53	130
292	54	130
293	54	130
294	54	129
295	54	129
296	54	129
297	54	129
298	55	129
299	55	129
300	55	128
301	55	128
302	55	128
303	56	128
304	56	128
305	56	127
306	56	127
307	56	127
308	56	127
309	57	127
310	57	126
311	57	126
312	57	126
313	57	126
314	58	126
315	58	126
316	58	125
317	58	125
318	58	125
319	58	125
320	59	125
321	59	124
322	59	124
323	59	124
324	59	124
325	60	124
326	60	124
327	60	123
328	60	123
329	60	123
330	60	123
331	61	123
332	61	122
333	61	122
334	61	122
335	61	122
336	62	122
337	62	121
338	62	121
339	62	121
340	62	121
341	62	121
342	63	121
343	63	120
344	63	120
345	63	120
346	63	120
347	64	120
348	64	119
349	64	119
350	64	119
351	64	119
352	64	119
353	65	118
354	65	118
355	65	118
356	65	118
357	65	118
358	66	118
359	66	117
360	66	117
361	66	117
362	66	117
363	67	117
364	67	116
365	67	116
366	67	116
367	67	116
368	67	116
369	68	115
370	68	115
371	68	115
372	68	115
373	68	115
374	69	115
375	69	114
376	69	114
377	69	114
378	69	114
379	69	114
380	70	113
381	70	113
382	70	113
383	70	113
384	70	113
385	71	113
386	71	112
387	71	112
388	71	112
389	71	112
390	71	112
391	72	111
392	72	111
393	72	111
394	72	111
395	72	111
396	73	111
397	73	110
398	73	110
399	73	110
400	73	110
401	74	110
402	74	109
403	74	109
404	74	109
405	74	109
406	74	109
407	75	109
408	75	108
409	75	108
410	75	108
411	75	108
412	76	108
413	76	107
414	76	107
415	76	107
416	76	107
417	76	107
418	77	106
419	77	106
420	77	106
421	77	106
422	77	106
423	78	106
424	78	105
425	78	105
426	78	105
427	78	105
428	78	105
429	79	104
430	79	104
431	79	104
432	79	104
433	79	104
434	80	104
435	80	103
436	80	103
437	80	103
438	80	103
439	81	103
440	81	103
441	81	102
442	81	102
443	81	102
444	82	102
445	82	102
446	82	101
447	82	101
448	82	101
449	82	101
450	83	101
451	83	100
452	83	100
453	83	100
454	83	100
455	84	100
456	84	100
457	84	99
458	84	99
459	84	99
460	84	99
461	85	99
462	85	98
463	85	98
464	85	98
465	85	98
466	86	98
467	86	98
468	86	97
469	86	97
470	86	97
471	86	97
472	87	97
473	87	96
474	87	96
475	87	96
476	87	96
477	88	96
478	88	96
479	88	95
480	88	95
481	88	95
482	89	95
483	89	95
484	89	94
485	89	94
486	89	94
487	89	94
488	90	94
489	90	93
490	90	93
491	90	93
492	90	93
493	91	93
494	91	93
495	91	92
496	91	92
497	91	92
498	92	92
499	92	92
500	92	92
501	92	91
502	92	91
503	92	91
504	93	91
505	93	91
506	93	90
507	93	90
508	93	90
509	94	90
510	94	90
511	94	89
512	94	89
513	94	89
514	94	89
515	95	89
516	95	89
517	95	88
518	95	88
519	95	88
520	96	88
521	96	88
522	96	87
523	96	87
524	96	87
525	97	87
526	97	87
527	97	87
528	97	86
529	97	86
530	97	86
531	98	86
532	98	86
533	98	85
534	98	85
535	98	85
536	99	85
537	99	85
538	99	84
539	99	84
540	99	84
541	99	84
542	100	84
543	100	84
544	100	83
545	100	83
546	100	83
547	101	83
548	101	83
549	101	82
550	101	82
551	101	82
552	101	82
553	102	82
554	102	82
555	102	81
556	102	81
557	102	81
558	103	81
559	103	81
560	103	80
561	103	80
562	103	80
563	103	80
564	104	80
565	104	80
566	104	79
567	104	79
568	104	79
569	105	79
570	105	79
571	105	78
572	105	78
573	105	78
574	106	78
575	106	78
576	106	77
577	106	77
578	106	77
579	106	77
580	107	77
581	107	77
582	107	76
583	107	76
584	107	76
585	108	76
586	108	76
587	108	75
588	108	75
589	108	75
590	108	75
591	109	75
592	109	75
593	109	74
594	109	74
595	109	74
596	110	74
597	110	74
598	110	73
599	110	73
600	110	73
601	110	73
602	111	73
603	111	73
604	111	72
605	111	72
606	111	72
607	112	72
608	112	72
609	112	71
610	112	71
611	112	71
612	112	71
613	113	71
614	113	70
615	113	70
616	113	70
617	113	70
618	114	70
619	114	70
620	114	69
621	114	69
622	114	69
623	115	69
624	115	69
625	115	68
626	115	68
627	115	68
628	115	68
629	116	68
630	116	68
631	116	67
632	116	67
633	116	67
634	117	67
635	117	67
636	117	66
637	117	66
638	117	66
639	117	66
640	118	66
641	118	65
642	118	65
643	118	65
644	118	65
645	119	65
646	119	65
647	119	64
648	119	64
649	119	64
650	119	64
651	120	64
652	120	63
653	120	63
654	120	63
655	120	63
656	121	63
657	121	63
658	121	62
659	121	62
660	121	62
661	122	62
662	122	62
663	122	61
664	122	61
665	122	61
666	122	61
667	123	61
668	123	61
669	123	60
670	123	60
671	123	60
672	124	60
673	124	60
674	124	59
675	124	59
676	124	59
677	124	59
678	125	59
679	125	58
680	125	58
681	125	58
682	125	58
683	126	58
684	126	58
685	126	57
686	126	57
687	126	57
688	127	57
689	127	57
690	127	56
691	127	56
692	127	56
693	127	56
694	128	56
695	128	56
696	128	55
697	128	55
698	128	55
699	129	55
700	129	55
701	129	54
702	129	54
703	129	54
704	129	54
705	130	54
706	130	54
707	130	53
708	130	53
709	130	53
710	131	53
711	131	53
712	131	52
713	131	52
714	131	52
715	131	52
716	132	52
717	132	51
718	132	51
719	132	51
720	132	51
721	133	51
722	133	51
723	133	50
724	133	50
725	133	50
726	134	50
727	134	50
728	134	49
729	134	49
730	134	49
731	134	49
732	135	49
733	135	49
734	135	48
735	135	48
